GAME_ID,GAME_DATE,GAME_NUM,MATCHUP,WL,WITH_WEMBY,WIN,DEF_RATING,DRTG_ROLL5,OFF_RATING,NET_RATING,OPP_ABBR,OPP_WIN_PCT,OPP_NET_RATING
0022500004,2025-10-22,1,SAS @ DAL,W,True,True,89.91,103.56666666666666,122.17,32.26,DAL,0.317,-5.2
0022500095,2025-10-24,2,SAS @ NOP,W,True,True,107.97,104.54249999999999,111.69,3.72,NOP,0.317,-4.4
0022500105,2025-10-26,3,SAS vs. BKN,W,True,True,112.82,104.22200000000001,124.42,11.6,BKN,0.244,-10.0
0022500118,2025-10-27,4,SAS vs. TOR,W,True,True,107.47,110.74000000000001,126.25,18.78,TOR,0.561,2.9
0022500141,2025-10-30,5,SAS vs. MIA,W,True,True,102.94,112.148,109.05,6.11,MIA,0.524,2.1
0022500154,2025-11-02,6,SAS @ PHX,L,True,False,122.5,110.944,111.19,-11.31,PHX,0.549,1.4
0022500179,2025-11-05,7,SAS @ LAL,L,True,False,115.01,113.26999999999998,113.06,-1.95,LAL,0.646,1.5
0022500032,2025-11-07,8,SAS vs. HOU,W,True,True,106.8,115.208,117.48,10.68,HOU,0.634,5.4
0022500188,2025-11-08,9,SAS vs. NOP,W,True,True,119.1,113.848,126.1,7.0,NOP,0.317,-4.4
0022500202,2025-11-10,10,SAS @ CHI,W,True,True,112.63,112.144,116.48,3.85,CHI,0.378,-5.3
0022500220,2025-11-12,11,SAS vs. GSW,L,True,False,115.7,112.80199999999999,111.07,-4.63,GSW,0.451,-0.5
0022500047,2025-11-14,12,SAS vs. GSW,L,True,False,106.49,109.654,105.51,-0.98,GSW,0.451,-0.5
0022500234,2025-11-16,13,SAS vs. SAC,W,False,True,110.09,111.31199999999998,123.1,13.01,SAC,0.268,-9.7
0022500252,2025-11-18,14,SAS vs. MEM,W,False,True,103.36,111.06800000000001,113.59,10.23,MEM,0.305,-6.0
0022500267,2025-11-20,15,SAS vs. ATL,W,False,True,120.92,109.968,129.56,8.64,ATL,0.561,2.2
0022500281,2025-11-23,16,SAS @ PHX,L,False,False,114.48,114.08399999999999,105.2,-9.28,PHX,0.549,1.4
0022500067,2025-11-26,17,SAS @ POR,W,False,True,100.99,119.628,113.86,12.87,POR,0.512,-0.4
0022500076,2025-11-28,18,SAS @ DEN,W,False,True,130.67,119.09200000000001,133.55,2.88,DEN,0.659,5.2
0022500306,2025-11-30,19,SAS @ MIN,L,False,False,131.08,117.022,117.45,-13.63,MIN,0.598,3.1
0022500322,2025-12-02,20,SAS vs. MEM,W,False,True,118.24,121.024,125.2,6.96,MEM,0.305,-6.0
0022500326,2025-12-03,21,SAS @ ORL,W,False,True,104.13,118.89000000000001,105.99,1.86,ORL,0.549,0.6
0022500341,2025-12-05,22,SAS @ CLE,L,False,False,121.0,115.81599999999999,108.9,-12.1,CLE,0.634,4.1
0022500366,2025-12-08,23,SAS @ NOP,W,False,True,120.0,112.33800000000001,122.73,2.73,NOP,0.317,-4.4
0022501204,2025-12-10,24,SAS @ LAL,W,False,True,115.71,110.54,128.35,12.64,LAL,0.646,1.5
0022501230,2025-12-13,25,SAS @ OKC,W,True,True,100.85,105.362,102.7,1.85,OKC,0.78,11.1
0022500370,2025-12-18,26,SAS vs. WAS,W,True,True,95.14,102.468,120.45,25.31,WAS,0.207,-11.8
0022500383,2025-12-19,27,SAS @ ATL,W,True,True,95.11,102.83999999999999,122.28,27.17,ATL,0.561,2.2
0022500399,2025-12-21,28,SAS @ WAS,W,True,True,105.53,104.09,115.8,10.27,WAS,0.207,-11.8
0022500417,2025-12-23,29,SAS vs. OKC,W,True,True,117.57,109.428,138.95,21.38,OKC,0.78,11.1
0022500010,2025-12-25,30,SAS @ OKC,W,True,True,107.1,111.55999999999999,122.85,15.75,OKC,0.78,11.1
0022500440,2025-12-27,31,SAS vs. UTA,L,True,False,121.83,115.22,109.36,-12.47,UTA,0.268,-8.2
0022500456,2025-12-29,32,SAS vs. CLE,L,True,False,105.77,112.19199999999998,94.53,-11.24,CLE,0.634,4.1
0022500467,2025-12-31,33,SAS vs. NYK,W,True,True,123.83,114.454,125.7,1.87,NYK,0.646,6.4
